,month,num_trips
0,2024-01-01T00:00:00.000,425203
1,2024-02-01T00:00:00.000,440013
2,2024-03-01T00:00:00.000,524134
3,2024-04-01T00:00:00.000,546369
4,2024-05-01T00:00:00.000,619945
5,2024-06-01T00:00:00.000,608266
6,2024-07-01T00:00:00.000,546279
7,2024-08-01T00:00:00.000,563732
8,2024-09-01T00:00:00.000,563224
9,2024-10-01T00:00:00.000,598969
10,2024-11-01T00:00:00.000,540185
11,2024-12-01T00:00:00.000,504031
12,2025-01-01T00:00:00.000,424927
13,2025-02-01T00:00:00.000,449874
14,2025-03-01T00:00:00.000,562670
15,2025-04-01T00:00:00.000,577814
16,2025-05-01T00:00:00.000,651900
17,2025-06-01T00:00:00.000,646275
18,2025-07-01T00:00:00.000,589367
19,2025-08-01T00:00:00.000,585608
20,2025-09-01T00:00:00.000,623661
21,2025-10-01T00:00:00.000,641251
22,2025-11-01T00:00:00.000,519892
23,2025-12-01T00:00:00.000,552588
24,2026-01-01T00:00:00.000,27
