,day,num_trips
0,2024-01-01T00:00:00.000,9511
1,2024-01-02T00:00:00.000,12807
2,2024-01-03T00:00:00.000,13449
3,2024-01-04T00:00:00.000,13825
4,2024-01-05T00:00:00.000,12953
5,2024-01-06T00:00:00.000,9290
6,2024-01-07T00:00:00.000,8786
7,2024-01-08T00:00:00.000,13656
8,2024-01-09T00:00:00.000,14375
9,2024-01-10T00:00:00.000,15488
10,2024-01-11T00:00:00.000,16748
11,2024-01-12T00:00:00.000,10605
12,2024-01-13T00:00:00.000,9676
13,2024-01-14T00:00:00.000,8536
14,2024-01-15T00:00:00.000,11055
15,2024-01-16T00:00:00.000,13859
16,2024-01-17T00:00:00.000,16624
17,2024-01-18T00:00:00.000,16777
18,2024-01-19T00:00:00.000,16202
19,2024-01-20T00:00:00.000,11817
20,2024-01-21T00:00:00.000,13160
21,2024-01-22T00:00:00.000,18784
22,2024-01-23T00:00:00.000,18765
23,2024-01-24T00:00:00.000,18858
24,2024-01-25T00:00:00.000,18267
25,2024-01-26T00:00:00.000,16298
26,2024-01-27T00:00:00.000,9992
27,2024-01-28T00:00:00.000,9290
28,2024-01-29T00:00:00.000,14384
29,2024-01-30T00:00:00.000,15251
30,2024-01-31T00:00:00.000,16115
31,2024-02-01T00:00:00.000,17373
32,2024-02-02T00:00:00.000,15164
33,2024-02-03T00:00:00.000,10457
34,2024-02-04T00:00:00.000,9736
35,2024-02-05T00:00:00.000,15267
36,2024-02-06T00:00:00.000,16167
37,2024-02-07T00:00:00.000,16006
38,2024-02-08T00:00:00.000,17087
39,2024-02-09T00:00:00.000,14921
40,2024-02-10T00:00:00.000,10099
41,2024-02-11T00:00:00.000,9712
42,2024-02-12T00:00:00.000,14663
43,2024-02-13T00:00:00.000,16320
44,2024-02-14T00:00:00.000,17832
45,2024-02-15T00:00:00.000,17791
46,2024-02-16T00:00:00.000,15766
47,2024-02-17T00:00:00.000,11914
48,2024-02-18T00:00:00.000,10289
49,2024-02-19T00:00:00.000,13147
50,2024-02-20T00:00:00.000,16452
51,2024-02-21T00:00:00.000,18696
52,2024-02-22T00:00:00.000,20290
53,2024-02-23T00:00:00.000,19580
54,2024-02-24T00:00:00.000,13735
55,2024-02-25T00:00:00.000,11716
56,2024-02-26T00:00:00.000,15523
57,2024-02-27T00:00:00.000,16546
58,2024-02-28T00:00:00.000,18830
59,2024-02-29T00:00:00.000,18934
60,2024-03-01T00:00:00.000,16796
61,2024-03-02T00:00:00.000,11394
62,2024-03-03T00:00:00.000,11063
63,2024-03-04T00:00:00.000,15761
64,2024-03-05T00:00:00.000,18639
65,2024-03-06T00:00:00.000,18852
66,2024-03-07T00:00:00.000,18979
67,2024-03-08T00:00:00.000,18954
68,2024-03-09T00:00:00.000,12148
69,2024-03-10T00:00:00.000,11176
70,2024-03-11T00:00:00.000,16595
71,2024-03-12T00:00:00.000,17731
72,2024-03-13T00:00:00.000,19505
73,2024-03-14T00:00:00.000,20877
74,2024-03-15T00:00:00.000,20723
75,2024-03-16T00:00:00.000,18351
76,2024-03-17T00:00:00.000,15046
77,2024-03-18T00:00:00.000,20819
78,2024-03-19T00:00:00.000,20905
79,2024-03-20T00:00:00.000,20585
80,2024-03-21T00:00:00.000,20577
81,2024-03-22T00:00:00.000,18575
82,2024-03-23T00:00:00.000,12746
83,2024-03-24T00:00:00.000,13342
84,2024-03-25T00:00:00.000,16300
85,2024-03-26T00:00:00.000,17754
86,2024-03-27T00:00:00.000,18895
87,2024-03-28T00:00:00.000,19266
88,2024-03-29T00:00:00.000,16975
89,2024-03-30T00:00:00.000,12579
90,2024-03-31T00:00:00.000,12226
91,2024-04-01T00:00:00.000,17536
92,2024-04-02T00:00:00.000,18522
93,2024-04-03T00:00:00.000,20480
94,2024-04-04T00:00:00.000,20321
95,2024-04-05T00:00:00.000,18552
96,2024-04-06T00:00:00.000,13439
97,2024-04-07T00:00:00.000,13650
98,2024-04-08T00:00:00.000,19201
99,2024-04-09T00:00:00.000,20668
100,2024-04-10T00:00:00.000,20372
101,2024-04-11T00:00:00.000,22993
102,2024-04-12T00:00:00.000,20545
103,2024-04-13T00:00:00.000,14866
104,2024-04-14T00:00:00.000,14191
105,2024-04-15T00:00:00.000,17866
106,2024-04-16T00:00:00.000,19830
107,2024-04-17T00:00:00.000,20734
108,2024-04-18T00:00:00.000,21577
109,2024-04-19T00:00:00.000,19890
110,2024-04-20T00:00:00.000,14841
111,2024-04-21T00:00:00.000,13220
112,2024-04-22T00:00:00.000,17283
113,2024-04-23T00:00:00.000,18347
114,2024-04-24T00:00:00.000,20846
115,2024-04-25T00:00:00.000,21357
116,2024-04-26T00:00:00.000,20287
117,2024-04-27T00:00:00.000,14290
118,2024-04-28T00:00:00.000,13400
119,2024-04-29T00:00:00.000,18226
120,2024-04-30T00:00:00.000,19039
121,2024-05-01T00:00:00.000,20809
122,2024-05-02T00:00:00.000,21791
123,2024-05-03T00:00:00.000,22025
124,2024-05-04T00:00:00.000,16014
125,2024-05-05T00:00:00.000,15820
126,2024-05-06T00:00:00.000,21359
127,2024-05-07T00:00:00.000,22793
128,2024-05-08T00:00:00.000,22702
129,2024-05-09T00:00:00.000,22688
130,2024-05-10T00:00:00.000,19388
131,2024-05-11T00:00:00.000,13338
132,2024-05-12T00:00:00.000,13059
133,2024-05-13T00:00:00.000,19301
134,2024-05-14T00:00:00.000,20484
135,2024-05-15T00:00:00.000,21980
136,2024-05-16T00:00:00.000,23802
137,2024-05-17T00:00:00.000,24018
138,2024-05-18T00:00:00.000,19475
139,2024-05-19T00:00:00.000,19007
140,2024-05-20T00:00:00.000,22867
141,2024-05-21T00:00:00.000,24722
142,2024-05-22T00:00:00.000,22571
143,2024-05-23T00:00:00.000,21652
