,day,num_trips
0,2013-01-01,56953
1,2013-01-02,36830
2,2013-01-03,38808
3,2013-01-04,50391
4,2013-01-05,48354
5,2013-01-06,37549
6,2013-01-07,40181
7,2013-01-08,39396
8,2013-01-09,42454
9,2013-01-10,50096
10,2013-01-11,57234
11,2013-01-12,58757
12,2013-01-13,45409
13,2013-01-14,44560
14,2013-01-15,44310
15,2013-01-16,49063
16,2013-01-17,54235
17,2013-01-18,64858
18,2013-01-19,63780
19,2013-01-20,56002
20,2013-01-21,46171
21,2013-01-22,55428
22,2013-01-23,56233
23,2013-01-24,59462
24,2013-01-25,67792
25,2013-01-26,66059
26,2013-01-27,51847
27,2013-01-28,45329
28,2013-01-29,48657
29,2013-01-30,53274
30,2013-01-31,60590
31,2013-02-01,71283
32,2013-02-02,64175
33,2013-02-03,51357
34,2013-02-04,50685
35,2013-02-05,51869
36,2013-02-06,54311
37,2013-02-07,64707
38,2013-02-08,75038
39,2013-02-09,69166
40,2013-02-10,53656
41,2013-02-11,52793
42,2013-02-12,54136
43,2013-02-13,56186
44,2013-02-14,63503
45,2013-02-15,77743
46,2013-02-16,86198
47,2013-02-17,71186
48,2013-02-18,47535
49,2013-02-19,61245
50,2013-02-20,66522
51,2013-02-21,73899
52,2013-02-22,83699
53,2013-02-23,84190
54,2013-02-24,62752
55,2013-02-25,56067
56,2013-02-26,58465
57,2013-02-27,64236
58,2013-02-28,73800
59,2013-03-01,89967
60,2013-03-02,88234
61,2013-03-03,70969
62,2013-03-04,65841
63,2013-03-05,58436
64,2013-03-06,66191
65,2013-03-07,71752
66,2013-03-08,82931
67,2013-03-09,80623
68,2013-03-10,65338
69,2013-03-11,67022
70,2013-03-12,67319
71,2013-03-13,71990
72,2013-03-14,79022
73,2013-03-15,95706
74,2013-03-16,132541
75,2013-03-17,78966
76,2013-03-18,68590
77,2013-03-19,71317
78,2013-03-20,70855
79,2013-03-21,78728
80,2013-03-22,90710
81,2013-03-23,82433
82,2013-03-24,60820
83,2013-03-25,50875
84,2013-03-26,52958
85,2013-03-27,56457
86,2013-03-28,63865
87,2013-03-29,70101
88,2013-03-30,64297
89,2013-03-31,46523
90,2013-04-01,52994
91,2013-04-02,56921
92,2013-04-03,62325
93,2013-04-04,68166
94,2013-04-05,84988
95,2013-04-06,81113
96,2013-04-07,65599
97,2013-04-08,61193
98,2013-04-09,63229
99,2013-04-10,66145
100,2013-04-11,74961
101,2013-04-12,86618
102,2013-04-13,85445
103,2013-04-14,66303
104,2013-04-15,62408
105,2013-04-16,65284
106,2013-04-17,75912
107,2013-04-18,74780
108,2013-04-19,89378
109,2013-04-20,86061
110,2013-04-21,67259
111,2013-04-22,59123
112,2013-04-23,71748
113,2013-04-24,69450
114,2013-04-25,74997
115,2013-04-26,81976
116,2013-04-27,83822
117,2013-04-28,64624
118,2013-04-29,53777
119,2013-04-30,60072
120,2013-05-01,64288
121,2013-05-02,75401
122,2013-05-03,89842
123,2013-05-04,85529
124,2013-05-05,68048
125,2013-05-06,59362
126,2013-05-07,63422
127,2013-05-08,66981
128,2013-05-09,78114
129,2013-05-10,85713
130,2013-05-11,76165
131,2013-05-12,58944
132,2013-05-13,59544
133,2013-05-14,62448
134,2013-05-15,69171
135,2013-05-16,75392
136,2013-05-17,92024
137,2013-05-18,93211
138,2013-05-19,81734
139,2013-05-20,70558
140,2013-05-21,69697
141,2013-05-22,69963
142,2013-05-23,81162
143,2013-05-24,78493
144,2013-05-25,79578
145,2013-05-26,71121
146,2013-05-27,44633
147,2013-05-28,60221
148,2013-05-29,66707
149,2013-05-30,73509
150,2013-05-31,90002
151,2013-06-01,96641
152,2013-06-02,78724
153,2013-06-03,66947
154,2013-06-04,70131
155,2013-06-05,71164
156,2013-06-06,79628
157,2013-06-07,88888
158,2013-06-08,96595
159,2013-06-09,80348
160,2013-06-10,69749
161,2013-06-11,73062
162,2013-06-12,74508
163,2013-06-13,80010
164,2013-06-14,89935
165,2013-06-15,93621
166,2013-06-16,75381
167,2013-06-17,67317
168,2013-06-18,68504
169,2013-06-19,71553
170,2013-06-20,75429
171,2013-06-21,89722
172,2013-06-22,92161
173,2013-06-23,80302
174,2013-06-24,70140
175,2013-06-25,72888
176,2013-06-26,69305
177,2013-06-27,76324
178,2013-06-28,95828
179,2013-06-29,93767
180,2013-06-30,77836
181,2013-07-01,57290
182,2013-07-02,56979
183,2013-07-03,65783
184,2013-07-04,65732
185,2013-07-05,70850
186,2013-07-06,75749
187,2013-07-07,62269
188,2013-07-08,60808
189,2013-07-09,64471
190,2013-07-10,69461
191,2013-07-11,77690
192,2013-07-12,88913
193,2013-07-13,99428
194,2013-07-14,80448
195,2013-07-15,68051
196,2013-07-16,71020
197,2013-07-17,74926
198,2013-07-18,82110
199,2013-07-19,98868
200,2013-07-20,102619
201,2013-07-21,83423
202,2013-07-22,70475
203,2013-07-23,67817
204,2013-07-24,67681
205,2013-07-25,74711
206,2013-07-26,86176
207,2013-07-27,89906
208,2013-07-28,72650
209,2013-07-29,59357
210,2013-07-30,65068
211,2013-07-31,71894
212,2013-08-01,78536
213,2013-08-02,97691
214,2013-08-03,97046
215,2013-08-04,82246
216,2013-08-05,65187
217,2013-08-06,60893
218,2013-08-07,69779
219,2013-08-08,72062
220,2013-08-09,87320
221,2013-08-10,92983
222,2013-08-11,75270
223,2013-08-12,63077
224,2013-08-13,65387
225,2013-08-14,73048
226,2013-08-15,78693
227,2013-08-16,92409
228,2013-08-17,98733
229,2013-08-18,75603
230,2013-08-19,59934
231,2013-08-20,66900
232,2013-08-21,74462
233,2013-08-22,82008
234,2013-08-23,88328
235,2013-08-24,90735
236,2013-08-25,73109
237,2013-08-26,60488
238,2013-08-27,66869
239,2013-08-28,68275
240,2013-08-29,75711
241,2013-08-30,88268
242,2013-08-31,89552
243,2013-09-01,84179
244,2013-09-02,50784
245,2013-09-03,54668
246,2013-09-04,59595
247,2013-09-05,64454
248,2013-09-06,83366
249,2013-09-07,90785
250,2013-09-08,77649
251,2013-09-09,69542
252,2013-09-10,73045
253,2013-09-11,74609
254,2013-09-12,80808
255,2013-09-13,92717
256,2013-09-14,97579
257,2013-09-15,84558
258,2013-09-16,66632
259,2013-09-17,68832
260,2013-09-18,80431
261,2013-09-19,83539
262,2013-09-20,97429
263,2013-09-21,98965
264,2013-09-22,79155
265,2013-09-23,67229
266,2013-09-24,70984
267,2013-09-25,77067
268,2013-09-26,82305
269,2013-09-27,91441
270,2013-09-28,92251
271,2013-09-29,79921
272,2013-09-30,68130
273,2013-10-01,72327
274,2013-10-02,76116
275,2013-10-03,84268
276,2013-10-04,91953
277,2013-10-05,96763
278,2013-10-06,82681
279,2013-10-07,69446
