,day,num_trips
0,2020-01-01,20799
1,2020-01-02,26304
2,2020-01-03,30799
3,2020-01-04,21173
4,2020-01-05,17710
5,2020-01-06,32500
6,2020-01-07,36587
7,2020-01-08,40805
8,2020-01-09,42890
9,2020-01-10,42255
10,2020-01-11,21808
11,2020-01-12,19816
12,2020-01-13,40130
13,2020-01-14,42579
14,2020-01-15,46572
15,2020-01-16,49688
16,2020-01-17,45150
17,2020-01-18,25238
18,2020-01-19,21174
19,2020-01-20,25514
20,2020-01-21,40227
21,2020-01-22,43690
22,2020-01-23,46914
23,2020-01-24,45652
24,2020-01-25,23261
25,2020-01-26,19976
26,2020-01-27,37546
27,2020-01-28,39848
28,2020-01-29,41545
29,2020-01-30,43876
30,2020-01-31,41312
31,2020-02-01,22211
32,2020-02-02,18935
33,2020-02-03,35903
34,2020-02-04,41745
35,2020-02-05,43944
36,2020-02-06,46874
37,2020-02-07,43106
38,2020-02-08,24162
39,2020-02-09,20731
40,2020-02-10,38136
41,2020-02-11,41986
42,2020-02-12,45409
43,2020-02-13,52573
44,2020-02-14,53205
45,2020-02-15,30278
46,2020-02-16,26347
47,2020-02-17,31867
48,2020-02-18,42732
49,2020-02-19,49822
50,2020-02-20,55243
51,2020-02-21,51677
52,2020-02-22,29049
53,2020-02-23,22584
54,2020-02-24,38826
55,2020-02-25,43550
56,2020-02-26,44596
57,2020-02-27,49836
58,2020-02-28,48860
59,2020-02-29,27937
60,2020-03-01,23869
61,2020-03-02,38029
62,2020-03-03,43351
63,2020-03-04,43514
64,2020-03-05,46592
65,2020-03-06,45235
66,2020-03-07,24282
67,2020-03-08,20376
68,2020-03-09,38948
69,2020-03-10,37588
70,2020-03-11,37546
71,2020-03-12,33969
72,2020-03-13,28104
73,2020-03-14,19453
74,2020-03-15,11649
75,2020-03-16,13994
76,2020-03-17,8900
77,2020-03-18,7034
78,2020-03-19,5813
79,2020-03-20,5143
80,2020-03-21,2883
81,2020-03-22,1543
82,2020-03-23,2636
83,2020-03-24,2449
84,2020-03-25,2382
85,2020-03-26,2490
86,2020-03-27,2537
87,2020-03-28,1606
88,2020-03-29,1226
89,2020-03-30,2313
90,2020-03-31,2125
91,2020-04-01,2467
92,2020-04-02,2246
93,2020-04-03,2559
94,2020-04-04,1745
95,2020-04-05,1270
96,2020-04-06,2171
97,2020-04-07,2009
98,2020-04-08,2070
99,2020-04-09,2089
100,2020-04-10,1972
101,2020-04-11,1598
102,2020-04-12,1027
103,2020-04-13,1966
104,2020-04-14,1857
105,2020-04-15,1793
106,2020-04-16,2034
107,2020-04-17,1851
108,2020-04-18,1479
109,2020-04-19,1051
110,2020-04-20,1758
111,2020-04-21,1831
112,2020-04-22,1876
113,2020-04-23,1942
114,2020-04-24,1996
115,2020-04-25,1411
116,2020-04-26,1047
117,2020-04-27,1962
118,2020-04-28,2077
119,2020-04-29,2214
120,2020-04-30,2255
121,2020-05-01,2766
122,2020-05-02,2134
123,2020-05-03,1516
124,2020-05-04,2607
125,2020-05-05,2419
126,2020-05-06,2469
127,2020-05-07,2527
128,2020-05-08,2437
129,2020-05-09,1880
130,2020-05-10,1482
131,2020-05-11,2256
132,2020-05-12,2339
133,2020-05-13,2410
134,2020-05-14,2347
135,2020-05-15,2683
136,2020-05-16,1917
137,2020-05-17,1577
138,2020-05-18,2515
139,2020-05-19,2367
140,2020-05-20,2533
141,2020-05-21,2519
142,2020-05-22,2813
143,2020-05-23,1988
144,2020-05-24,1692
145,2020-05-25,1895
146,2020-05-26,2500
147,2020-05-27,2675
148,2020-05-28,2721
149,2020-05-29,2844
150,2020-05-30,2394
